station,stationid,latitude,longitude
중동역,210000224,37.4876167,126.7650167
중동역,211000099,37.4847,126.7642
중동역.부천여고,210000259,37.4882833,126.7627833
중동역.신한은행,210000547,37.4875833,126.7648167
중동행정복지센터.시민회관,210000367,37.48775,126.7693167
중앙공원.미리내마을,210000219,37.4998833,126.76855
중앙공원.미리내마을,210000053,37.4998333,126.7682333
중앙그린빌아파트,210000542,37.5021667,126.7939333
중앙그린빌아파트,210000543,37.50215,126.7940833
중앙병원입구.송내자이아파트,211000098,37.4831167,126.7578333
중앙병원입구.송내자이아파트,211000096,37.4833833,126.7575167
중원고.한라마을앞,210000147,37.5113,126.7625
중원고등학교,210900007,37.5141833,126.7610333
중원초교,210000068,37.5118,126.76485
중원초교,210000088,37.5122833,126.7646167
중흥고교,210000040,37.5075667,126.7679167
중흥고교,210000292,37.5076833,126.7687
중흥마을.은하마을,210000217,37.5063333,126.7695667
진달래공원,210000333,37.5094833,126.75525
진달래공원,210000145,37.5092333,126.7551833
진달래대우.라일락신성아파트,210000122,37.5105167,126.7539667
진달래대우.라일락신성아파트,210000123,37.5105167,126.75425
진달래마을.효성아파트,210000144,37.50885,126.7580167
진달래마을써미트빌,210000194,37.5082333,126.7534667
진산초등학교,166000614,37.5119667,126.7408333
진영고등학교,211000148,37.4734667,126.79205
진영고등학교,211000023,37.4738833,126.7921833
진영아파트,212000095,37.5278333,126.8219167
진영아파트,212000074,37.5283833,126.8218833
차병원,211000226,37.4865,126.8187833
천화사.심원고등학교,210000455,37.5040333,126.78135
천화사.심원고등학교,210000454,37.5039667,126.7811333
청구아파트,211000211,37.4685,126.8002
청구아파트,211000178,37.46875,126.80035
청실빌라,212000097,37.5256167,126.8197167
청실빌라,212000072,37.5256667,126.8199833
청암아파트,210000550,37.4875167,126.8139833
축협원미지점,210000152,37.4934,126.7910167
축협원미지점,210000138,37.4941333,126.7913833
춘의가구거리,210000077,37.5043833,126.7904167
춘의가구거리,210000080,37.5039333,126.7894833
춘의동차고지,210000134,37.5017167,126.79435
춘의동차고지,210000156,37.50175,126.7943167
춘의아파트,210000135,37.5009,126.7935833
춘의아파트,210000155,37.5005667,126.7932833
춘의역4번출구,210000174,37.50335,126.78625
춘의역5번출구,210000183,37.50355,126.7850667
춘의역6번출구,210000345,37.5046667,126.7866167
춘의역7번출구,210000358,37.5044167,126.7870333
춘의테크노파크단지앞,210000344,37.5002667,126.7861833
춘의테크노파크단지앞,210000359,37.49965,126.7864333
테크노파크4단지(경유),277102371,37.5166833,126.7647333
트레지움1단지.다니엘병원,210000058,37.5111,126.7700167
트레지움1단지.다니엘병원,210000065,37.51105,126.7696833
팰리스카운티.부천서초교입구,210000099,37.48835,126.7670333
팰리스카운티.부천서초교입구,210000368,37.48815,126.7664667
팰리스카운티.부천중학교,210000318,37.4921833,126.7680667
팰리스카운티.장말문예사거리,210000234,37.4926333,126.76645
팰리스카운티.장말문예사거리,210000554,37.49245,126.7662333
팰리스카운티.장말문예사거리,210000027,37.4924667,126.76775
팰리스카운티1단지,210000486,37.4912167,126.7663667
팰리스카운티정문,210000540,37.4892667,126.7656
팰리스카운티정문,210000541,37.4900667,126.7657333
폐기물소각장(경유),277102375,37.5204333,126.7673167
포도마을,210000167,37.5009167,126.75745
포도마을.보람마을,210000060,37.4995833,126.7593
포도마을.보람마을,210000063,37.4998333,126.7592167
포도마을사거리.현대백화점.이마트,210000488,37.5026833,126.7625833
풍림마을,210000231,37.49755,126.7474167
풍림아파트,211000176,37.4663167,126.8007667
풍림아파트.다문화가족지원센터,210000474,37.4916167,126.7907833
풍림아파트.다문화가족지원센터,210000437,37.49155,126.7905667
풍림아파트.산림욕장삼거리,210000091,37.4925333,126.7948
풍림아파트.산림욕장삼거리,210000261,37.49245,126.7951
하나마트,212000438,37.5185167,126.81635
하나마트,212000442,37.5186167,126.8171667
하나은행,211000113,37.4758167,126.7957167
하얀마을,210900004,37.49825,126.7566333
하얀마을,210000381,37.4992833,126.75635
하얀마을.백송마을,210000260,37.4990333,126.7515667
하얀마을.백송마을,210000256,37.49865,126.7518167
하이퍼마트,211000166,37.4704833,126.7982333
한국아파트,210000553,37.49715,126.7540167
한국아파트,210000586,37.4920333,126.81315
한국화장품연수원,212000034,37.5203167,126.7688167
한국화장품연수원,212000041,37.52005,126.7680167
한남빌라,212000352,37.5231,126.82055
한남빌라,212000321,37.5229667,126.8205833
한라마을.덕유마을,210000069,37.5095667,126.7643667
한라마을.덕유마을,210000087,37.5094,126.764
한신공용주차장,211000163,37.4733333,126.79825
한신시장입구,211000162,37.47505,126.7982333
한신아파트.KCC스위첸아파트,211000081,37.47515,126.79945
한아름마을.반달마을,210000085,37.4942667,126.7491667
한아름마을.반달마을,210000071,37.4940667,126.7499333
